pair_address,token_address,estrato,sync_count,mint_count,burn_count,transfer_count,token0_decimals,token1_decimals,first_block,last_block,lifespan_blocks,active_days,last_event_type,terminal_burn_flag,transfers_count,unique_senders,unique_recipients,total_value,top3_n,concentration_top3,burn_ratio
0xb88ec8c7fc3887454591e0c448323b553245f654,0x9fe16cf3068cfc1341053a5633e01d7e4806835a,alto,103,1,1,4,18,18,12882366.0,12885771.0,3405.0,0.5423842592592593,burn,1.0,105.0,20.0,88.0,3.674037854042787e+27,20.0,0.19047619047619047,0.5
0xd18aea36557ade95d23fb051b68443dd99b1b663,0x59ad6061a0be82155e7acce9f0c37bf59f9c1e3c,alto,1977,128,81,705,18,18,10794024.0,13077462.0,2283438.0,352.4938425925926,sync,0.0,4209.0,463.0,925.0,9.890613354895757e+21,1780.0,0.4229033024471371,0.627906976744186
0xb4c36b752b706836ab90ed4e78b058150ae9ed59,0xde3e18ecb613498b9a1483af51394ec2259bcd0a,alto,773,37,27,178,18,18,11944953.0,12885437.0,940484.0,145.57641203703704,sync,0.0,9187.0,350.0,2171.0,1.2994909788992857e+24,2548.0,0.27734842712528573,0.7105263157894737
0xcb3948e6c8cc96410a5c34593a989cedfbb1ae9a,0xf3dea48690f3e8f7f676cfb2798254d3225b9386,alto,1345,3,3,12,18,18,12879661.0,13214373.0,334712.0,51.989814814814814,sync,0.0,1566.0,330.0,566.0,9.763940357322742e+19,742.0,0.47381864623243936,0.75
0xf43638d2b2849a6d7e9e1b7efb9376a9a2fe5c11,0x48ccd976a4cadd63d8ecdfde4201a7a62894d6f0,alto,193,1,0,4,18,18,12342478.0,12891821.0,549343.0,85.3375462962963,sync,0.0,197.0,59.0,79.0,6.846214170138465e+33,92.0,0.467005076142132,0.0
0x855ef55edbdc9b5d25fb0014412390f56417ab80,0x767b4e3d51068340729ac658bb35927e3ad57b7a,alto,2097,1,2,9,18,18,12692413.0,13064821.0,372408.0,58.091655092592596,sync,0.0,2102.0,428.0,522.0,6.537030977448456e+21,1216.0,0.5784966698382493,1.0
0x33519e5521c7b9298a54e73e4878d37e35e2a3e2,0xbccbea22eb26be71f478e459117095ae39f2dee3,alto,136,1,0,4,18,18,13063951.0,13065750.0,1799.0,0.26231481481481483,sync,0.0,147.0,21.0,99.0,7.949036679793529e+32,29.0,0.19727891156462585,0.0
0x18e12dfc645e25bdb54717eac23737b4de2aeafe,0x72b2bb8a3bfb5a0bf0c2e145fdc82bcc7fd5f6d9,alto,451,4,0,7,18,18,10737762.0,11487824.0,750062.0,115.38055555555556,sync,0.0,457.0,14.0,53.0,1.7203158681526515e+26,392.0,0.8577680525164114,0.0
0xfc74ecdee4e9fff2f2ef4cdf4f1c777b2ef0e905,0x0763fdccf1ae541a5961815c0872a8c5bc6de4d7,alto,11046,364,212,821,18,18,10590454.0,13219278.0,2628824.0,405.738287037037,sync,0.0,19102.0,3135.0,6334.0,7.073348746441546e+26,5701.0,0.2984504240393676,0.5808219178082191
0xb4f1165b5e1bd0944faf28e71480c18a753b5d99,0x293453c85b066a90b5b655cdf2b1259b94849442,alto,405,1,1,7,18,18,12589404.0,12627935.0,38531.0,5.966851851851852,burn,1.0,411.0,108.0,144.0,485338521218052.0,238.0,0.5790754257907542,0.5
0x8fa5ed2073a1a5497d87c6d9c80320183c8dcfa0,0xf58c4fc29d607949698f9b6c468632e3994dd0bf,alto,597,2,2,7,18,18,12673005.0,12805217.0,132212.0,20.60255787037037,sync,0.0,653.0,4.0,549.0,2.3098575311489074e+29,64.0,0.09800918836140889,0.6666666666666666
0xfa5e14a4a3bb92b78c048af27a6916d523eecc8f,0x38d24e971187004bc4ccda0fdef37c8286a4ed0b,alto,804,1,0,3,18,18,12458382.0,13077120.0,618738.0,96.30924768518518,sync,0.0,821.0,198.0,265.0,2.9676875553240896e+24,358.0,0.43605359317904996,0.0
0x48ab310d99ab53ff9e4b2b8afb321a68dc369555,0xf4307928b4f1581c1b50b1cf7850ecfe41a10a5b,alto,196,1,2,8,18,18,12300189.0,12440703.0,140514.0,21.68482638888889,burn,1.0,227.0,73.0,98.0,5.054034255274373e+33,105.0,0.46255506607929514,1.0
0x01f8989c1e556f5c89c7d46786db98eeaae82c33,0xcb5f72d37685c3d5ad0bb5f982443bc8fcdf570e,alto,10395,199,176,634,18,18,11279563.0,13215575.0,1936012.0,299.0817592592593,sync,0.0,32194.0,2705.0,2876.0,9.522492245699013e+23,19242.0,0.597689010374604,0.88
0x8ae735c9517f5b9cade5e814dfc86a5aa640542d,0xc2dae0c44039b84dad6b7cb82d4b38ebf6af7780,alto,1514,110,89,295,18,18,11307341.0,11677061.0,369720.0,56.7646875,sync,0.0,4443.0,332.0,373.0,979247602.0,2617.0,0.5890164303398605,0.8018018018018018
0x93ca56ddabff706ba8f4b57633bd057cadd3c897,0xb49009a69f3f96a2c49d23fc89f82368d5a84fb7,alto,616,1,0,4,18,18,10725826.0,12955286.0,2229460.0,344.04614583333336,sync,0.0,623.0,174.0,234.0,2.67401244741135e+27,269.0,0.4317817014446228,0.0
